subject_1_code,subject_1_name,subject_2_code,subject_2_name,similarity_score
97501,Spanish Language and Culture 1,97502,Spanish Language and Culture 2,1.0000000000000002
CBK90494,Chinese Language and Culture,CBK90487,Chinese Language and Culture,1.0000000000000002
CBK90499,German Language and Culture,CBK90492,German Language and Culture,1.0000000000000002
CBK90500,Italian Language and Culture,CBK90493,Italian Language and Culture,1.0000000000000002
CBK90498,Spanish Language and Culture,CBK90491,Spanish Language and Culture,1.0000000000000002
CBK90497,French Language and Culture,CBK90490,French Language and Culture,1.0
CBK90495,Japanese Language and Culture,CBK90488,Japanese Language and Culture,1.0
41001,Cloud Computing and Software as a Service,42904,Cloud Computing and Software as a Service,0.9979051114608117
97401,French Language and Culture 1,97402,French Language and Culture 2,0.9939090935574039
97403,French Language and Culture 3,97404,French Language and Culture 4,0.9936040476066728
97104,Chinese Language and Culture 4,97106,Chinese Language and Culture 6,0.9923742630070822
97401,French Language and Culture 1,97403,French Language and Culture 3,0.9914549100981602
97505,Spanish Language and Culture 5,97506,Spanish Language and Culture 6,0.9912629515336023
97503,Spanish Language and Culture 3,97504,Spanish Language and Culture 4,0.9894478359255975
97104,Chinese Language and Culture 4,97105,Chinese Language and Culture 5,0.9861762330449857
97402,French Language and Culture 2,97403,French Language and Culture 3,0.9854160509986998
97401,French Language and Culture 1,97404,French Language and Culture 4,0.9850066866941856
97202,Japanese Language and Culture 2,97204,Japanese Language and Culture 4,0.9837297059749597
97102,Chinese Language and Culture 2,97105,Chinese Language and Culture 5,0.9832938182292061
97105,Chinese Language and Culture 5,97106,Chinese Language and Culture 6,0.9829573116261946
97405,French Language and Culture 5,97406,French Language and Culture 6,0.9803935378585257
97103,Chinese Language and Culture 3,97105,Chinese Language and Culture 5,0.9796772443755819
97402,French Language and Culture 2,97404,French Language and Culture 4,0.9790071031201991
97803,Italian Language and Culture 3,97804,Italian Language and Culture 4,0.9770542094836416
97802,Italian Language and Culture 2,97803,Italian Language and Culture 3,0.9746929082341275
31256,Image Processing and Pattern Recognition,42177,Image Processing and Pattern Recognition,0.9743964732792011
97404,French Language and Culture 4,97406,French Language and Culture 6,0.9705311789162393
97102,Chinese Language and Culture 2,97104,Chinese Language and Culture 4,0.9695941862742139
97404,French Language and Culture 4,97405,French Language and Culture 5,0.9687064373760861
97102,Chinese Language and Culture 2,97103,Chinese Language and Culture 3,0.9682079399159262
97802,Italian Language and Culture 2,97804,Italian Language and Culture 4,0.9677252777572811
97403,French Language and Culture 3,97406,French Language and Culture 6,0.9671263476010544
97401,French Language and Culture 1,97406,French Language and Culture 6,0.9671263476010544
97102,Chinese Language and Culture 2,97106,Chinese Language and Culture 6,0.9664293893655559
97103,Chinese Language and Culture 3,97104,Chinese Language and Culture 4,0.9660000951484627
97801,Italian Language and Culture 1,97802,Italian Language and Culture 2,0.9653263569467144
97403,French Language and Culture 3,97405,French Language and Culture 5,0.9653080076451812
97401,French Language and Culture 1,97405,French Language and Culture 5,0.9653080076451812
97103,Chinese Language and Culture 3,97106,Chinese Language and Culture 6,0.9628470295070141
31005,Machine Learning,32513,Advanced Data Analytics Algorithms,0.9620452482185755
97402,French Language and Culture 2,97406,French Language and Culture 6,0.9612356714996455
97402,French Language and Culture 2,97405,French Language and Culture 5,0.9594284068823263
97801,Italian Language and Culture 1,97803,Italian Language and Culture 3,0.9560167878006915
97205,Japanese Language and Culture 5,97206,Japanese Language and Culture 6,0.9540537950898633
97801,Italian Language and Culture 1,97804,Italian Language and Culture 4,0.9537440211267839
